flightNumber;plane;dep_airport_code;arr_airport_code;delay
IBB505; ATR-72;ACE;LPA;19
AEA9448; ATR-72;ACE;LPA;17
DE1421; BOEING 757-200  WINGLETS;ACE;DUS;15
DE1409; BOEING 767-300 WINGLETS;ACE;FRA;19
DE1401; AIRBUS A320;ACE;MUC;28
RYR7125; BOEING 737-800 WINGLETS;ACE;DUB;25
IBB469; ATR-42\/72;ACE;TFN;-9
IBE2284; ATR-42\/72;ACE;TFN;20
RYR6627; BOEING 737-800 WINGLETS;ACE;EDI;6
RYR2595; BOEING 737-800 WINGLETS;ACE;BFS;11
RYR2132; BOEING 737-800 WINGLETS;ACE;MAN;2
CNF722; ATR-72;ACE;LPA;18
EZY8682; 32A;ACE;LGW;17
IBB513; ATR-42\/72;ACE;LPA;32
RYR8289; BOEING 737-800 WINGLETS;ACE;STN;23
EZY2026; 32A;ACE;LTN;17
JTG632; BOEING 737-700 WINGLETS;ACE;BLL;15
EIN777; AIRBUS A320;ACE;DUB;9
IBB471; ATR-72;ACE;TFN;18
RYR2913; BOEING 737-800 WINGLETS;MAD;TFS;16
IBB123; ATR-72;LPA;TFS;11
VLG3282; 32A;AGP;TFS;13
IBE8931; CANADAIR CRJ-200;SVQ;LEI;2
IBE8594; BOMBARDIER CRJ-1000;MAD;LEI;-9
VLG1251; AIRBUS A320;BCN;LEI;-10
IBE8598; BOMBARDIER CRJ-1000;MAD;LEI;14
IBE8212; CANADAIR CRJ-200;PMI;LEI;13
IBE8592; BOMBARDIER CRJ-1000;MAD;LEI;25
IBE8588; CANADAIR CRJ-200;MAD;LEI;23
IBE8600; BOMBARDIER CRJ-1000;MAD;LEI;16
IBE8594; CANADAIR CRJ-900;MAD;LEI;16
AEA2001; AIRBUS A330-200;MAD;BCN;4
VLG1572; AIRBUS A320;OVD;BCN;23
VLG7460; 32A;MAD;BCN;10
VLG3929; AIRBUS A320;PMI;BCN;6
VLG1439; 32A;BIO;BCN;26
IBE8986; CANADAIR CRJ-900;MAD;VLC;5
RYR7223; BOEING 737-800 WINGLETS;SCQ;VLC;31
IBE8935; CANADAIR CRJ-900;BIO;VLC;22
IBE8441; CANADAIR CRJ-200;IBZ;VLC;7
VLG3153; AIRBUS A320;PMI;XRY;26
IBE0410; AIRBUS A319;MAD;XRY;29
VLG2286; 32A;BCN;XRY;24
RYR1283; BOEING 737-800 WINGLETS;BCN;XRY;11
IBE0404; AIRBUS A319;MAD;XRY;10
IBE0406; AIRBUS A320;MAD;XRY;13
IBE0410; AIRBUS A319;MAD;XRY;0
AEA1702; ATR-72;PMI;IBZ;1
IBE8112; CANADAIR CRJ-200;PMI;IBZ;11
VLG3508; AIRBUS A320;BCN;IBZ;14
IBE8106; ATR-42\/72;PMI;IBZ;15
RYR7216; BOEING 737-800 WINGLETS;VLC;IBZ;13
VLG3419; AIRBUS A320;MAD;IBZ;18
IBE8904; CANADAIR CRJ-200;ALC;IBZ;-9
VLG3695; AIRBUS A320;VLC;IBZ;4
AEA2687; BOEING 737-800 WINGLETS;BCN;IBZ;17
IBE8910; BOMBARDIER CRJ-1000;MAD;IBZ;23
IBE8108; BOMBARDIER CRJ-1000;PMI;IBZ;11
VLG3510; AIRBUS A320;BCN;IBZ;15
AEA6025; EMBRAER ERJ-195;MAD;IBZ;16
RYR6362; BOEING 737-800 WINGLETS;BCN;PMI;9
AEA6007; BOEING 737-800 WINGLETS;BCN;PMI;-8
VLG3916; AIRBUS A320;BCN;PMI;26
AEA6031; EMBRAER ERJ-195;MAD;PMI;23
AEA4025; ATR-72;ALC;PMI;29
AEA4004; EMBRAER ERJ-195;VLC;PMI;15
VLG1421; 32B;BIO;BCN;18
IBE8935; CANADAIR CRJ-900;BIO;VLC;27
IBE0423; AIRBUS A321;BIO;MAD;-2
VLG1419; AIRBUS A320;BIO;BCN;24
AFR1477; EMBRAER 190;BIO;CDG;16
IBE8387; CANADAIR CRJ-200;BIO;ALC;29
IBS9525; AIRBUS A320;BIO;PMI;18
EZY3226; AIRBUS A319;BIO;STN;13
VLG3944; 32A;PMI;BIO;-6
IBK6361; BOEING 737-800 WINGLETS;BIO;TFS;27
VLG3968; 32A;BIO;VLC;7
VLG3274; AIRBUS A320;BIO;LPA;13
DLH1825; AIRBUS A320;BIO;MUC;-10
VLG3961; 32A;BIO;TXL;1
KLM1686; EMBRAER 190;BIO;AMS;22
VLG1670; 32A;BCN;SCQ;20
RYR5315; BOEING 737-800 WINGLETS;MAD;SCQ;29
VLG3980; AIRBUS A320;SCQ;PMI;16
EVE1601; 32A;SVQ;SCQ;9
AEA2827; BOEING 737-800 WINGLETS;BCN;SCQ;0
RYR3041; BOEING 737-800 WINGLETS;SVQ;SCQ;15
LAV5213; BOEING 737-400;TFN;SCQ;18
IBS3874; AIRBUS A320;MAD;SCQ;17
RYR8538; BOEING 737-800 WINGLETS;ALC;SCQ;29
EVE1119; 32A;ALC;SCQ;4
IBS3878; AIRBUS A321;MAD;SCQ;20
VLG1676; AIRBUS A320;BCN;SCQ;29
VLG1672; AIRBUS A320;BCN;SCQ;-3
CNF703; ATR-72;LPA;ACE;27
IBB504; ATR-72;LPA;ACE;1
AEA9447; ATR-72;LPA;ACE;0
IBB468; ATR-42\/72;TFN;ACE;39
CNF721; ATR-72;LPA;ACE;20
IBB510; ATR-72;LPA;ACE;7
IBB470; ATR-72;TFN;ACE;3
IBB508; ATR-72;LPA;ACE;14
LLX5052; AIRBUS A321;LPA;ACE;30
IBE8640; BOMBARDIER CRJ-1000;MAD;GRX;17
VLG2020; 32A;BCN;GRX;21
AEA5201; EMBRAER ERJ-195;PMI;GRX;18
VLG3933; 32A;PMI;GRX;31
IBE8646; CANADAIR CRJ-900;MAD;GRX;-7
IBE8642; BOMBARDIER CRJ-1000;MAD;GRX;36
VLG2014; AIRBUS A320;BCN;GRX;-4
IBE8644; BOMBARDIER CRJ-1000;MAD;GRX;3
VLG2618; AIRBUS A320;BIO;GRX;12
VLG2016; 32B;BCN;GRX;16
IBE8648; CANADAIR CRJ-900;MAD;GRX;25
VLG2010; AIRBUS A321;BCN;GRX;22
IBE8640; BOMBARDIER CRJ-1000;MAD;GRX;2
VLG3256; AIRBUS A320;SVQ;TFN;33
IBB604; ATR-42\/72;SPC;TFN;18
IBB107; BOMBARDIER CRJ-1000;LPA;TFN;-8
IBB115; ATR-72;LPA;TFN;18
AEA9059; BOEING 737-800 WINGLETS;MAD;TFN;38
IBB606; ATR-72;SPC;TFN;10
IBB105; ATR-72;LPA;TFN;19
RYR5278; BOEING 737-800 WINGLETS;MAD;TFN;13
IBB453; ATR-42\/72;ACE;TFN;22
IBK6306; BOEING 737-800 WINGLETS;MAD;TFN;-6
IBB415; ATR-42\/72;FUE;TFN;6
CNF413; ATR-72;SPC;TFN;21
IBB608; ATR-42\/72;SPC;TFN;10
IBB119; BOMBARDIER CRJ-1000;LPA;TFN;15
IBB656; ATR-72;VDE;TFN;15
AEA9415; ATR-72;LPA;TFN;14
VLG3260; AIRBUS A320;BIO;TFN;13
AEA9462; ATR-72;SPC;TFN;21
IBB109; BOMBARDIER CRJ-1000;LPA;TFN;25
IBB612; ATR-42\/72;SPC;TFN;37
IBS3942; AIRBUS A321;MAD;TFN;6
VLG2216; 32B;BCN;SVQ;7
RYR6396; BOEING 737-800 WINGLETS;BCN;SVQ;14
VLG2224; AIRBUS A320;BCN;SVQ;-10
AEA5103; BOEING 737-800 WINGLETS;TFN;SVQ;13
VLG2252; AIRBUS A320;BCN;SVQ;18
VLG3257; AIRBUS A320;TFN;SVQ;19
IBS3950; AIRBUS A320;MAD;SVQ;9
VLG2510; AIRBUS A320;BIO;SVQ;0
RYR3042; BOEING 737-800 WINGLETS;SCQ;SVQ;28
RYR5273; BOEING 737-800 WINGLETS;PMI;SVQ;27
VOE3528; BOEING 717;BIO;SVQ;16
RYR2207; BOEING 737-800 WINGLETS;VLC;SVQ;10
VLG3965; AIRBUS A320;VLC;SVQ;16
VLG3714; AIRBUS A320;BCN;MAH;5
IBE8482; CANADAIR CRJ-900;PMI;MAH;26
AEA4537; ATR-72;PMI;MAH;10
VLG3744; AIRBUS A320;BCN;MAH;13
IBE8956; BOMBARDIER CRJ-1000;MAD;MAH;10
AAL8564; BOMBARDIER CRJ-1000;MAD;MAH;11
IBE8498; ATR-42\/72;PMI;MAH;22
RYR7401; BOEING 737-800 WINGLETS;VLC;MAH;28
AEA4531; ATR-72;PMI;MAH;19
IBE8490; ATR-42\/72;PMI;MAH;16
RYR6881; BOEING 737-800 WINGLETS;BCN;MAH;22
IBE8026; BOMBARDIER CRJ-1000;MAD;MAH;10
VLG3700; AIRBUS A320;BCN;MAH;8
IBE8492; ATR-42\/72;PMI;MAH;16
IBE8496; CANADAIR CRJ-900;PMI;MAH;12
VLG3718; AIRBUS A321;BCN;MAH;23
IBS9522; AIRBUS A320;PMI;BIO;7
IBE8353; CANADAIR CRJ-200;SCQ;BIO;16
VLG1432; 32A;BCN;BIO;17
IBK6360; BOEING 737-800 WINGLETS;TFS;BIO;27
VLG3275; AIRBUS A320;LPA;BIO;9
VLG3803; 32A;MAH;BIO;22
VLG1440; 32A;BCN;BIO;5
AEA7157; EMBRAER ERJ-195;MAD;BIO;11
IBB106; BOMBARDIER CRJ-1000;TFN;LPA;18
CNF612; ATR-42\/72;TFN;LPA;-12
AEA9404; ATR-72;TFN;LPA;9
IBB102; BOMBARDIER CRJ-1000;TFN;LPA;16
IBB203; ATR-72;FUE;LPA;34
AEA9432; ATR-72;FUE;LPA;18
AEA9156; AIRBUS A330-200;MAD;LPA;14
IBB501; BOMBARDIER CRJ-1000;ACE;LPA;16
IBB104; ATR-42\/72;TFN;LPA;-2
CNF704; ATR-42\/72;ACE;LPA;29
IBB108; ATR-42\/72;TFN;LPA;6
IBB304; ATR-42\/72;SPC;LPA;16
IBB114; ATR-42\/72;TFN;LPA;11
CNF804; ATR-72;FUE;LPA;-1
IBB237; ATR-42\/72;FUE;LPA;28
IBB505; ATR-72;ACE;LPA;17
IBE8759; BOMBARDIER CRJ-1000;LEN;BCN;23
IBE8758; BOMBARDIER CRJ-1000;BCN;LEN;2
IBE8313; BOMBARDIER CRJ-1000;BJZ;BCN;18
IBE8331; CANADAIR CRJ-200;BJZ;MAD;38
IBE8330; CANADAIR CRJ-200;MAD;BJZ;6
RYR1074; BOEING 737-800 WINGLETS;REU;EMA;7
RYR1115; BOEING 737-800 WINGLETS;REU;DUB;23
RYR2212; BOEING 737-800 WINGLETS;REU;EIN;9
RYR2212; BOEING 737-800 WINGLETS;REU;EIN;13
RYR1115; BOEING 737-800 WINGLETS;REU;DUB;8
IBB656; ATR-72;VDE;TFN;22
IBB662; ATR-42\/72;VDE;TFN;1
IBB664; ATR-72;VDE;TFN;23
IBB366; ATR-72;VDE;LPA;22
CNF248; ATR-72;VDE;TFN;14
IBB674; ATR-72;VDE;TFN;26
IBB656; ATR-72;VDE;TFN;9
AEA2631; BOEING 737-800 WINGLETS;ZAZ;IBZ;29
RYR4634; BOEING 737-800 WINGLETS;ZAZ;BGY;36
VLG3979; AIRBUS A320;ZAZ;PMI;12
RYR6321; BOEING 737-800 WINGLETS;VLL;BCN;20
VLG1585; AIRBUS A320;VLL;BCN;2
RYR4421; BOEING 737-800 WINGLETS;VIT;CGN;25
IBE8221; CANADAIR CRJ-200;RJL;MAD;6
IBE3464; AIRBUS A319;MAD;ZRH;10
AVA027; BOEING 787-8;MAD;BOG;8
TVF3181; BOEING 737-800 WINGLETS;MAD;ORY;-4
IBE0930; AIRBUS A320;MAD;BCN;6
IBE0930S; AIRBUS A320;MAD;BCN;-2
AVA6078; AIRBUS A320;MAD;BCN;17
VLG9742; AIRBUS A320;MAD;BCN;1
AAL8733; AIRBUS A320;MAD;BCN;16
ACA837; BOEING 787-9;MAD;YYZ;10
IBE3480; AIRBUS A320;MAD;GVA;1
RYR1332; BOEING 737-800 WINGLETS;MAD;NAP;5
IBE8914; BOMBARDIER CRJ-1000;MAD;MRS;29
WZZ3402; AIRBUS A320;MAD;CLJ;21
IBE8784; BOMBARDIER CRJ-1000;MAD;BLQ;9
VLG9460; AIRBUS A320;MAD;BCN;12
RYR6991; BOEING 737-800 WINGLETS;MAD;BGY;10
DLH1119; AIRBUS A319;PNA;FRA;16
IBE8539; CANADAIR CRJ-200;PNA;MAD;9
KRP2860; FOKKER 100;PNA;LPA;30
IBE8525; BOMBARDIER CRJ-1000;PNA;MAD;11
IBE8531; BOMBARDIER CRJ-1000;PNA;MAD;1
IBE8529; BOMBARDIER CRJ-1000;PNA;MAD;14
IBE8224; CANADAIR CRJ-200;MAD;RJL;17
IBB650; ATR-42\/72;GMZ;TFN;0
IBB652; ATR-72;GMZ;TFN;12
IBB650; ATR-72;GMZ;TFN;17
VLG2011; 32B;GRX;BCN;10
IBE8641; BOMBARDIER CRJ-1000;GRX;MAD;10
EZY1816; 32A;GRX;MAN;20
VLG2021; 32A;GRX;BCN;-2
AEA5200; EMBRAER ERJ-195;GRX;PMI;12
VLG3932; 32A;GRX;PMI;28
BAW3290; EMBRAER 190;GRX;LCY;0
IBE8645; CANADAIR CRJ-900;GRX;MAD;15
IBE8649; BOMBARDIER CRJ-1000;GRX;MAD;7
VLG2015; AIRBUS A320;GRX;BCN;35
IBE8643; BOMBARDIER CRJ-1000;GRX;MAD;12
VLG2619; AIRBUS A320;GRX;BIO;32
VLG2017; 32B;GRX;BCN;5
IBE8639; CANADAIR CRJ-900;GRX;MAD;12
VLG2011; AIRBUS A320;GRX;BCN;14
RYR9335; BOEING 737-800 WINGLETS;GRO;BRS;8
RYR9107; BOEING 737-800 WINGLETS;GRO;BVA;11
RYR7018; BOEING 737-800 WINGLETS;GRO;SKG;13
RYR9803; BOEING 737-800 WINGLETS;GRO;STN;11
RYR9211; BOEING 737-800 WINGLETS;GRO;FKB;13
RYR9911; BOEING 737-800 WINGLETS;GRO;BOH;11
RYR3769; BOEING 737-800 WINGLETS;GRO;LTN;1
RYR8047; BOEING 737-800 WINGLETS;GRO;BHX;18
RYR7038; BOEING 737-800 WINGLETS;GRO;CAG;-1
RYR6924; BOEING 737-800 WINGLETS;GRO;RBA;24
RYR4275; BOEING 737-800 WINGLETS;GRO;FRA;12
ANE2034; BOMBARDIER CRJ-1000;GRO;SVQ;11
RYR9123; BOEING 737-800 WINGLETS;GRO;EIN;14
RYR3213; BOEING 737-800 WINGLETS;GRO;MAN;36
RYR2344; BOEING 737-800 WINGLETS;GRO;NCL;17
RYR9803; BOEING 737-800 WINGLETS;GRO;STN;21
RYR4125; BOEING 737-800 WINGLETS;GRO;HHN;26
RYR6391; BOEING 737-800 WINGLETS;GRO;NRN;19
RYR9241; BOEING 737-800 WINGLETS;GRO;PSA;-3
HTY134; AWH;AEI;JCU;14
HTY110; AWH;JCU;AEI;6
HTY112; AWH;AEI;JCU;13
HTY114; AWH;AEI;JCU;6
HTY138; AWH;AEI;JCU;6
HTY133; AWH;JCU;AEI;8
HTY109; AWH;JCU;AEI;19
HTY111; AWH;JCU;AEI;21
HTY113; AWH;JCU;AEI;15
HTY257; AWH;JCU;AGP;21
HTY137; AWH;JCU;AEI;11
IBE8327; ATR-72;EAS;MAD;22
IBE8319; ATR-72;EAS;MAD;5
IBE8329; ATR-72;EAS;MAD;13
IBE8315; ATR-72;EAS;MAD;14
VLG2489; AIRBUS A319;EAS;BCN;26
IBE8323; ATR-72;EAS;MAD;1
IBE8317; ATR-72;EAS;MAD;22
VLG2487; AIRBUS A319;EAS;BCN;10
IBB651; ATR-42\/72;TFN;GMZ;-5
IBB653; ATR-42\/72;TFN;GMZ;1
IBE2244; ATR-72;TFN;GMZ;5
IBB651; ATR-72;TFN;GMZ;17
AEA7311; EMBRAER ERJ-195;VGO;MAD;9
VLG1703; 32A;VGO;BCN;22
AEA7315; EMBRAER ERJ-195;VGO;MAD;3
IBE0533; AIRBUS A319;VGO;MAD;28
IBS9527; AIRBUS A320;VGO;PMI;12
TAP1141; ATR-72;VGO;LIS;19
AEA7317; EMBRAER ERJ-195;VGO;MAD;8
RYR1779; BOEING 737-800 WINGLETS;SDR;BUD;17
IBE0555; AIRBUS A319;SDR;MAD;20
RYR9156; BOEING 737-800 WINGLETS;SDR;CIA;9
IBE0557; AIRBUS A319;SDR;MAD;14
VLG1591; AIRBUS A320;SDR;BCN;25
RYR1353; BOEING 737-800 WINGLETS;SDR;RAK;17
RYR6058; BOEING 737-800 WINGLETS;SDR;CRL;12
IBE0559; AIRBUS A319;SDR;MAD;11
RYR2613; BOEING 737-800 WINGLETS;SDR;STN;-5
IBE8861; BOMBARDIER CRJ-1000;SDR;MAD;16
HTY133; AWH;JCU;AEI;12
HTY109; AWH;JCU;AEI;17
HTY111; AWH;JCU;AEI;21
HTY113; AWH;JCU;AEI;9
HTY137; AWH;JCU;AEI;23
AEA2632; BOEING 737-800 WINGLETS;IBZ;ZAZ;22
VLG3978; AIRBUS A320;PMI;ZAZ;22
IBB655; ATR-72;TFN;VDE;12
IBB659; ATR-42\/72;TFN;VDE;17
IBB663; ATR-72;TFN;VDE;20
IBB365; ATR-72;LPA;VDE;-1
IBS2218; ATR-72;LPA;VDE;2
CNF247; ATR-42\/72;TFN;VDE;9
IBB673; ATR-72;TFN;VDE;17
IBB655; ATR-72;TFN;VDE;2
RYR6320; BOEING 737-800 WINGLETS;BCN;VLL;-6
VLG1584; AIRBUS A320;BCN;VLL;27
TAP1085; ATR-42\/72;LCG;LIS;15
IBE0513; AIRBUS A320;LCG;MAD;19
VLG1274; 32A;LCG;VLC;20
VLG1298; AIRBUS A320;LCG;SVQ;0
AEA7236; EMBRAER ERJ-195;LCG;MAD;20
IBE0523; AIRBUS A320;LCG;MAD;23
VLG1295; 32A;LCG;BCN;16
VLG7104; AIRBUS A320;LCG;LHR;15
LZF440; ATR 42-300\/320;BIO;LCG;20
AEA7238; EMBRAER ERJ-195;LCG;MAD;21
IBE8640; BOMBARDIER CRJ-1000;MAD;GRX;11
VLG2020; 32A;BCN;GRX;12
AEA5201; EMBRAER ERJ-195;PMI;GRX;16
VLG3933; 32A;PMI;GRX;17
IBE8646; CANADAIR CRJ-900;MAD;GRX;6
IBE8642; BOMBARDIER CRJ-1000;MAD;GRX;-2
VLG2014; AIRBUS A320;BCN;GRX;14
IBE8644; BOMBARDIER CRJ-1000;MAD;GRX;38
VLG2618; AIRBUS A320;BIO;GRX;18
VLG2016; 32B;BCN;GRX;19
IBE8648; CANADAIR CRJ-900;MAD;GRX;12
VLG2010; AIRBUS A321;BCN;GRX;17
IBE8640; BOMBARDIER CRJ-1000;MAD;GRX;16
IBE8993; BOMBARDIER CRJ-1000;VLC;MAD;24
SWR2131; CS1;VLC;GVA;9
EZY8224; AIRBUS A319;VLC;LGW;5
IBE8987; CANADAIR CRJ-900;VLC;MAD;15
RYR2258; BOEING 737-800 WINGLETS;VLC;TRN;25
TRA5106; BOEING 737-800 WINGLETS;VLC;EIN;20
RYR9678; BOEING 737-800 WINGLETS;VLC;CIA;2
RYR8322; BOEING 737-800 WINGLETS;VLC;STN;23
RYR7216; BOEING 737-800 WINGLETS;VLC;IBZ;32
RYR7619; BOEING 737-800 WINGLETS;VLC;GLA;8
AEA1007; BOEING 737-800 WINGLETS;VLC;CDG;22
AEA4064; ATR-72;VLC;MAD;33
VLG6244; AIRBUS A320;VLC;FCO;7
VLG3695; AIRBUS A320;VLC;IBZ;3
IBE8314; ATR-72;MAD;EAS;9
IBE8316; ATR-72;MAD;EAS;4
IBE8322; ATR-72;MAD;EAS;22
IBE8318; ATR-72;MAD;EAS;31
